Codigo Instit.,Codigo Curso,Nome da Instituicao,Nome do Curso,Grau,Vagas Iniciais
603,9347,Universidade de Évora - Escola de Artes,Artes Plásticas e Multimédia,L1,33
604,8251,Universidade de Évora - Escola de Ciências Sociais,História e Arqueologia,L1,40
604,9026,Universidade de Évora - Escola de Ciências Sociais,Ciências da Educação,L1,30
604,9081,Universidade de Évora - Escola de Ciências Sociais,Economia,L1,40
604,9147,Universidade de Évora - Escola de Ciências Sociais,Gestão,L1,68
604,9219,Universidade de Évora - Escola de Ciências Sociais,Psicologia,L1,54
604,9229,Universidade de Évora - Escola de Ciências Sociais,Relações Internacionais,L1,64
604,9240,Universidade de Évora - Escola de Ciências Sociais,Sociologia,L1,42
604,9254,Universidade de Évora - Escola de Ciências Sociais,Turismo,L1,42
604,9787,Universidade de Évora - Escola de Ciências Sociais,Património Cultural,L1,22
604,9853,Universidade de Évora - Escola de Ciências Sociais,Educação Básica,L1,24
604,L047,Universidade de Évora - Escola de Ciências Sociais,Línguas e Literaturas,L1,50
604,L173,Universidade de Évora - Escola de Ciências Sociais,Estudos de Filosofia e de Cultura Contemporânea,L1,20
605,9707,Universidade de Évora - Escola de Saúde e Desenvolvimento Humano,Ciências do Desporto,L1,53
605,9841,Universidade de Évora - Escola de Saúde e Desenvolvimento Humano,Reabilitação Psicomotora,L1,27
605,L256,Universidade de Évora - Escola de Saúde e Desenvolvimento Humano,Ciências Biomédicas e da Saúde,L1,20
901,9554,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,Ciências da Nutrição,L1,22
901,9813,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,Medicina,MI,231
902,8109,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Sociologia (regime pós-laboral),L1,20
902,9006,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Arqueologia,L1,27
902,9020,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Ciência Política e Relações Internacionais,L1,98
902,9023,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Ciências da Comunicação,L1,96
902,9040,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Ciências da Linguagem,L1,20
902,9046,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Ciências Musicais,L1,45
902,9139,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Filosofia,L1,25
902,9145,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Geografia e Planeamento Regional,L1,58
902,9181,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,História,L1,45
902,9182,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,História da Arte,L1,40
902,9204,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Línguas  Literaturas e Culturas,L1,76
902,9240,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Sociologia,L1,57
902,9252,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Tradução,L1,60
902,9448,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Antropologia,L1,43
902,9917,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Estudos Portugueses,L1,20
903,8036,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Conservação - Restauro,L1,27
903,9015,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Bioquímica,L1,80
903,9089,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Civil,L1,50
903,9096,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia de Materiais,L1,25
903,9099,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia do Ambiente,L1,55
903,9104,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia e Gestão Industrial,L1,55
903,9113,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Física,L1,28
903,9116,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Geológica,L1,20
903,9119,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Informática,L1,170
903,9123,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Mecânica,L1,75
903,9126,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Química e Biológica,L1,71
903,9209,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Matemática,L1,25
903,9224,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Química Aplicada,L1,32
903,9348,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Biologia Celular e Molecular,L1,65
903,9455,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Biomédica,L1,60
903,L167,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Matemática Aplicada à Gestão do Risco,L1,25
903,L209,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Eletrotécnica e de Computadores,L1,166
903,L231,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia de Micro e Nanotecnologias,L1,66
904,9081,Universidade Nova de Lisboa - Faculdade de Economia,Economia,L1,195
904,9147,Universidade Nova de Lisboa - Faculdade de Economia,Gestão,L1,290
906,8259,Universidade Nova de Lisboa - Instituto Superior de Estatística e Gestão de Informação,Sistemas e Tecnologias de Informação,L1,48
906,9155,Universidade Nova de Lisboa - Instituto Superior de Estatística e Gestão de Informação,Gestão de Informação,L1,69
906,L188,Universidade Nova de Lisboa - Instituto Superior de Estatística e Gestão de Informação,Ciência de Dados,L1,50
911,9078,Universidade Nova de Lisboa - Faculdade de Direito,Direito,L1,100
1000,8183,Universidade do Minho,Geografia e Planeamento,L1,44
1000,8184,Universidade do Minho,Optometria e Ciências da Visão,L1,35
1000,8358,Universidade do Minho,Direito (regime pós-laboral),L1,15
1000,8427,Universidade do Minho,Educação (regime pós-laboral),L1,25
1000,8494,Universidade do Minho,Design de Produto,L1,33
1000,9002,Universidade do Minho,Administração Pública,L1,41
1000,9006,Universidade do Minho,Arqueologia,L1,21
1000,9012,Universidade do Minho,Biologia e Geologia,L1,48
1000,9015,Universidade do Minho,Bioquímica,L1,66
1000,9019,Universidade do Minho,Ciência Política,L1,30
1000,9023,Universidade do Minho,Ciências da Comunicação,L1,65
1000,9056,Universidade do Minho,Contabilidade,L1,35
1000,9078,Universidade do Minho,Direito,L1,110
1000,9081,Universidade do Minho,Economia,L1,85
1000,9089,Universidade do Minho,Engenharia Civil,L1,34
1000,9096,Universidade do Minho,Engenharia de Materiais,L1,27
1000,9098,Universidade do Minho,Engenharia de Telecomunicações e Informática,L1,36
1000,9104,Universidade do Minho,Engenharia e Gestão Industrial,L1,68
1000,9113,Universidade do Minho,Engenharia Física,L1,35
1000,9119,Universidade do Minho,Engenharia Informática,L1,170
1000,9123,Universidade do Minho,Engenharia Mecânica,L1,82
1000,9126,Universidade do Minho,Engenharia Química e Biológica,L1,42
1000,9127,Universidade do Minho,Engenharia Têxtil,L1,25
1000,9134,Universidade do Minho,Estudos Culturais,L1,21
1000,9139,Universidade do Minho,Filosofia,L1,27
1000,9141,Universidade do Minho,Física,L1,27
1000,9146,Universidade do Minho,Geologia,L1,21
1000,9147,Universidade do Minho,Gestão,L1,94
1000,9181,Universidade do Minho,História,L1,43
1000,9192,Universidade do Minho,Línguas Aplicadas,L1,51
1000,9195,Universidade do Minho,Línguas e Literaturas Europeias,L1,59
1000,9205,Universidade do Minho,Marketing,L1,45
1000,9209,Universidade do Minho,Matemática,L1,33
1000,9219,Universidade do Minho,Psicologia,L1,67
1000,9223,Universidade do Minho,Química,L1,24
1000,9229,Universidade do Minho,Relações Internacionais,L1,67
1000,9240,Universidade do Minho,Sociologia,L1,57
1000,9243,Universidade do Minho,Teatro,L1,25
1000,9257,Universidade do Minho,Arquitetura,MI,55
1000,9353,Universidade do Minho,Educação,L1,50
1000,9379,Universidade do Minho,Ciências do Ambiente,L1,40
1000,9381,Universidade do Minho,Estatística Aplicada,L1,25
1000,9397,Universidade do Minho,Ciências da Computação,L1,76
1000,9455,Universidade do Minho,Engenharia Biomédica,L1,65
1000,9499,Universidade do Minho,Design e Marketing de Moda,L1,30
1000,9688,Universidade do Minho,Biologia Aplicada,L1,57
1000,9785,Universidade do Minho,Negócios Internacionais,L1,33
1000,9813,Universidade do Minho,Medicina,MI,120
1000,9817,Universidade do Minho,Artes Visuais,L1,25
1000,9853,Universidade do Minho,Educação Básica,L1,52
1000,9917,Universidade do Minho,Estudos Portugueses,L1,32
1000,L078,Universidade do Minho,Criminologia e Justiça Criminal,L1,35
1000,L112,Universidade do Minho,Proteção Civil e Gestão do Território,L1,24
1000,L147,Universidade do Minho,Estudos Orientais: Estudos Chineses e Japoneses,L1,38
1000,L188,Universidade do Minho,Ciência de Dados,L1,31
1000,L215,Universidade do Minho,Engenharia e Gestão de Sistemas de Informação,L1,140
1000,L218,Universidade do Minho,Engenharia Eletrónica Industrial e Computadores,L1,88
1000,L221,Universidade do Minho,Engenharia Aeroespacial,L1,30
1000,L229,Universidade do Minho,Engenharia de Polímeros,L1,30
1101,9554,Universidade do Porto - Faculdade de Ciências da Nutrição e da Alimentação,Ciências da Nutrição,L1,67
1102,9257,Universidade do Porto - Faculdade de Arquitetura,Arquitetura,MI,123
1103,8258,Universidade do Porto - Faculdade de Ciências,Arquitetura Paisagista,L1,27
1103,9011,Universidade do Porto - Faculdade de Ciências,Biologia,L1,131
1103,9015,Universidade do Porto - Faculdade de Ciências,Bioquímica,L1,102
1103,9086,Universidade do Porto - Faculdade de Ciências,Engenharia Agronómica,L1,24
1103,9113,Universidade do Porto - Faculdade de Ciências,Engenharia Física,L1,66
1103,9141,Universidade do Porto - Faculdade de Ciências,Física,L1,58
1103,9146,Universidade do Porto - Faculdade de Ciências,Geologia,L1,35
1103,9209,Universidade do Porto - Faculdade de Ciências,Matemática,L1,62
1103,9223,Universidade do Porto - Faculdade de Ciências,Química,L1,48
1103,9385,Universidade do Porto - Faculdade de Ciências,Matemática Aplicada,L1,40
1103,9696,Universidade do Porto - Faculdade de Ciências,Ciência de Computadores,L1,58
1103,9709,Universidade do Porto - Faculdade de Ciências,Ciências e Tecnologia do Ambiente,L1,42
1103,L096,Universidade do Porto - Faculdade de Ciências,Engenharia Geoespacial,L1,23
1103,L227,Universidade do Porto - Faculdade de Ciências,Inteligência Artificial e Ciência de Dados,L1,60
1104,9081,Universidade do Porto - Faculdade de Economia,Economia,L1,208
1104,9147,Universidade do Porto - Faculdade de Economia,Gestão,L1,208
1105,9089,Universidade do Porto - Faculdade de Engenharia,Engenharia Civil,L1,121
1105,9096,Universidade do Porto - Faculdade de Engenharia,Engenharia de Materiais,L1,27
1105,9099,Universidade do Porto - Faculdade de Engenharia,Engenharia do Ambiente,L1,34
1105,9104,Universidade do Porto - Faculdade de Engenharia,Engenharia e Gestão Industrial,L1,107
1105,9123,Universidade do Porto - Faculdade de Engenharia,Engenharia Mecânica,L1,200
1105,9125,Universidade do Porto - Faculdade de Engenharia,Engenharia Química,L1,63
1105,9540,Universidade do Porto - Faculdade de Engenharia,Bioengenharia,L1,92
1105,L209,Universidade do Porto - Faculdade de Engenharia,Engenharia Eletrotécnica e de Computadores,L1,230
1105,L224,Universidade do Porto - Faculdade de Engenharia,Engenharia Informática e Computação,L1,283
1105,L236,Universidade do Porto - Faculdade de Engenharia,Engenharia de Minas e Geo-Ambiente,L1,20
1106,9494,Universidade do Porto - Faculdade de Farmácia,Ciências Farmacêuticas,MI,187
1107,9006,Universidade do Porto - Faculdade de Letras,Arqueologia,L1,29
1107,9023,Universidade do Porto - Faculdade de Letras,Ciências da Comunicação,L1,74
1107,9040,Universidade do Porto - Faculdade de Letras,Ciências da Linguagem,L1,24
1107,9139,Universidade do Porto - Faculdade de Letras,Filosofia,L1,55
1107,9143,Universidade do Porto - Faculdade de Letras,Geografia,L1,69
1107,9181,Universidade do Porto - Faculdade de Letras,História,L1,77
1107,9182,Universidade do Porto - Faculdade de Letras,História da Arte,L1,38
1107,9192,Universidade do Porto - Faculdade de Letras,Línguas Aplicadas,L1,52
1107,9197,Universidade do Porto - Faculdade de Letras,Línguas e Relações Internacionais,L1,66
1107,9204,Universidade do Porto - Faculdade de Letras,Línguas  Literaturas e Culturas,L1,79
1107,9240,Universidade do Porto - Faculdade de Letras,Sociologia,L1,44
1107,9694,Universidade do Porto - Faculdade de Letras,Ciência da Informação,L1,46
1107,L251,Universidade do Porto - Faculdade de Letras,Literatura e Estudos Interartes,L1,42
1108,9813,Universidade do Porto - Faculdade de Medicina,Medicina,MI,245
1109,9026,Universidade do Porto - Faculdade de Psicologia e de Ciências da Educação,Ciências da Educação,L1,52
1109,9219,Universidade do Porto - Faculdade de Psicologia e de Ciências da Educação,Psicologia,L1,123
1110,9708,Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar,Ciências do Meio Aquático,L1,39
1110,9813,Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar,Medicina,MI,155
1110,9847,Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar,Medicina Veterinária,MI,61
1111,9707,Universidade do Porto - Faculdade de Desporto,Ciências do Desporto,L1,124
