ID Candidato,PI,12,Nota Candidatura,E1,C1,E2,C2,E3,C3,E4,C4,E5,C5
92,16.2,14.9,15.55,7001,9500,1502,8399,6810,L282,1114,9066,1516,9229
93,16,17.3,16.65,901,9554,1321,9076,1506,9139,3032,8311,501,9099
94,13.3,17.2,15.25,1204,9379,6810,L282,1104,9081,1000,9119,3052,9850
95,15.7,13.6,14.65,3163,L153,604,9147,1105,L209,1504,8358,602,9104
96,15,15.2,15.1,3031,9242,1113,9548,7045,9890,503,9147,1000,9113
97,17.3,12.9,15.1,3082,9205,170,9081,1516,9448,204,9240,3065,L146
98,13,17.5,15.25,1000,9113,1203,9113,1000,L218,1501,9257,3153,9157
99,18.1,17,17.55,903,9116,1504,8358,1517,A013,903,9116,1507,9813
100,14.5,12.9,13.7,6810,L282,503,9240,1000,9229,3055,L158,203,9013
101,15.7,17.6,16.65,203,L123,3105,9087,3117,8015,903,9099,3122,9147
102,17.3,14.3,15.8,300,9146,3045,8309,300,9223,3064,9105,1000,L215
103,14.9,17.6,16.25,501,9119,400,9707,3034,8156,1518,9123,6800,8014
104,15.5,15.8,15.65,6800,9189,400,9020,1506,8104,400,9074,3105,9207
105,16.4,15.1,15.75,502,8067,507,9238,1000,8358,3153,9627,300,L254
106,17.4,14.2,15.8,400,9112,7035,9504,1518,9099,505,9773,1307,L208
107,12.7,17.1,14.9,3117,9147,1516,9002,1105,9540,3135,9123,1000,9223
108,18.3,18.5,18.4,3064,9105,3134,9058,3064,L209,300,9016,3045,9213
109,12.8,15.9,14.35,501,9011,1507,9554,1000,9195,1519,9104,1105,L209
110,14.3,15.9,15.1,3135,9110,7210,L066,140,8086,3103,9243,3164,8516
111,18.7,17,17.85,3051,L093,1202,9005,7001,9500,1504,8358,3045,9205
112,15.6,18.7,17.15,506,9813,7230,9504,1000,9229,3103,9243,6810,L277
113,17.7,19,18.35,400,9494,1502,9072,906,9155,3117,8015,300,9012
114,12,15.5,13.75,3142,L179,902,9182,300,L223,7065,9500,3131,8264
115,15.5,17,16.25,7080,9500,903,9348,3153,8111,1000,L188,501,9113
116,14.8,17.4,16.1,1502,9904,3118,9121,3113,9191,903,L231,1104,9081
117,15.7,15.7,15.7,3031,8402,602,9818,3121,9238,1114,9066,3031,9152
118,14.2,16.9,15.55,3182,9152,3243,L211,300,9194,3103,L127,3181,9054
119,14.4,14.1,14.25,501,9113,1204,9554,300,9212,1505,9494,1508,9548
120,17.2,14.7,15.95,7220,L068,906,L188,903,9126,3113,9222,3091,9853
121,16.7,15.5,16.1,1503,9146,903,9119,1000,8494,3063,9061,1201,9752
122,16.6,16.7,16.65,903,9224,1000,L188,501,8408,1204,9011,1502,L010
123,18.7,18.3,18.5,1506,9139,3153,9628,1103,9113,604,9853,3182,9152
124,16,15.8,15.9,1503,L214,3031,9152,400,9740,3095,9173,3045,9213
125,16.8,13.7,15.25,1202,9204,501,9113,3055,L158,3031,8402,1506,9133
126,17,17.1,17.05,506,9548,1105,9123,1000,9223,3012,8405,6800,8109
127,14.9,17.6,16.25,3121,9084,7080,9500,3134,L070,1000,9688,906,8259
128,16.7,17.7,17.2,1101,9554,1518,9455,300,L187,1503,9385,3118,9123
129,15.8,16.3,16.05,1000,9785,3113,8439,300,9041,3032,8417,1518,L162
130,17.6,16.1,16.85,1506,9182,1506,8413,7002,9500,1202,9803,1103,9696
131,13.5,18.2,15.85,1103,L227,1504,8358,1105,9125,1518,L239,501,9891
132,15.9,18.7,17.3,504,9494,1501,9071,1503,9381,3135,9117,400,9740
133,15.9,16,15.95,3062,9717,7230,9504,3134,9205,902,9204,1110,9847
134,18.4,12.2,15.3,7005,9500,902,9182,1114,9066,1506,9135,3023,9242
135,18,13.9,15.95,903,9116,902,9139,3135,9110,7230,9504,1000,9785
136,17.5,17.6,17.55,3064,9105,3041,L029,203,9210,904,9081,904,9081
137,16.1,16,16.05,3164,9664,1516,8364,604,9229,3101,9084,7210,L067
138,17.2,16.7,16.95,6810,L282,1109,9026,1504,8358,7035,9549,3032,8311
139,18.2,14.4,16.3,3141,9003,3118,9126,6800,8014,1518,9345,1507,9813
140,14.2,14.9,14.55,3182,9123,501,9113,1107,9181,1518,L221,3034,8341
141,17.4,15.6,16.5,603,9347,1507,9813,300,9012,7075,9500,3161,9016
142,19.3,11.1,15.2,1000,L188,1000,9397,7075,9500,3113,9191,7110,9177
143,12.9,16.7,14.8,3138,8015,1516,9002,506,9548,400,9075,1507,9554
144,14.2,18,16.1,400,9020,7230,9890,3164,8516,501,9223,1101,9554
145,16.4,18.5,17.45,3045,9188,3031,L140,505,9694,3092,9089,300,9119
146,15.6,14.8,15.2,3134,9053,1501,9069,906,L188,3112,9005,1110,9847
147,15.2,16.2,15.7,1501,9257,6800,9081,1501,9069,505,9133,903,9104
148,16.9,20,18.45,3139,9921,1000,9243,1503,9141,1000,9499,3182,9109
149,16.8,19,17.9,6800,9189,3153,9629,3151,9633,3134,9058,506,9548
150,17.2,14.2,15.7,1506,9139,3143,9152,903,9224,1000,9146,3031,8015
151,16,15.9,15.95,3033,9873,901,9554,300,9146,1103,9223,1518,9123
152,18.6,17,17.8,1502,L010,3118,L213,902,9139,1202,9238,3142,L179
153,14.5,15.4,14.95,3063,9722,3186,9179,3102,9123,400,9205,400,9205
154,17.2,19,18.1,1107,L251,3117,9058,3064,9105,1204,9761,7210,9549
155,17.3,13.2,15.25,300,9194,3117,9889,7015,9504,400,9257,501,9119
156,15.2,16.9,16.05,1503,9119,3112,9005,1507,9813,3102,9112,1308,9853
157,18.6,15.1,16.85,602,9760,6810,L282,400,9707,902,9252,3113,8439
158,17.6,14.1,15.85,501,L209,502,8067,1515,9099,1517,A006,7015,9504
159,16.1,16,16.05,3063,8519,1506,L097,507,9026,904,9081,300,9212
160,17.3,17.4,17.35,3163,9087,300,9351,1104,9081,1103,9086,1518,9099
161,14.7,18.7,16.7,902,9006,1501,9257,501,9123,1114,9066,3031,8015
162,19.5,13.7,16.6,6800,9119,7040,9549,902,9240,1105,L236,602,9760
163,14.6,14.2,14.4,3063,9801,3103,8525,502,8067,3121,9254,3101,8476
164,14.8,13.7,14.25,7110,8011,1518,9099,1201,9129,7220,L068,3103,9457
165,18.3,16.6,17.45,902,9020,904,9081,6800,L189,400,8184,1516,8364
166,18.6,18.2,18.4,1504,9078,1516,8363,1508,9791,505,9182,3011,8005
167,14.1,12.1,13.1,1519,9104,6800,L030,3118,L085,1510,9162,7210,9504
168,18.2,16.3,17.25,1106,9494,1516,9157,6800,9119,902,9240,1506,9139
169,13.7,13.2,13.45,1202,9853,3021,L157,1204,9761,501,9113,1518,L221
170,18.3,15.9,17.1,911,9078,1000,9785,1508,9791,3113,9222,902,9006
171,16.1,13.3,14.7,505,9773,3161,L164,3032,8311,1107,9139,1503,9011
172,15.9,17.6,16.75,1105,L209,1000,9785,3023,8437,1516,9448,1000,9146
173,12.8,17.8,15.3,903,L231,902,9006,3105,9207,7015,9501,1506,9133
174,20,14.1,17.05,400,9240,400,9147,1516,8102,3032,L181,1518,L209
175,18.1,18.5,18.3,1000,8494,3103,8525,505,9773,3113,8439,1000,9240
176,15.3,18.4,16.85,502,8067,400,9139,3139,8442,1518,9121,6810,L281
177,15.4,15.4,15.4,1506,9182,1504,8358,904,9147,3103,9074,903,L231
178,17.9,16.6,17.25,300,9012,1518,L221,3161,9003,903,9119,1107,L251
179,16.2,16.2,16.2,400,9015,1507,9554,1000,9381,3063,L023,1105,9104
180,17.9,13.5,15.7,3134,9058,1510,9841,1506,9182,3102,9119,7105,L118
181,19.3,18.1,18.7,1510,9707,6800,9147,1518,9099,7045,9500,506,9548
182,16.9,14.8,15.85,903,L231,502,8067,3117,9058,1000,L147,1502,L010
183,16.1,18.1,17.1,1504,8358,1103,L227,400,9740,6800,9156,3042,9853
184,18.6,17.7,18.15,501,9448,1503,9011,1105,L209,1105,L209,7035,9500
185,14.4,14.5,14.45,1518,9121,5402,8399,1507,9554,1000,9209,7035,L068
186,18.2,17.1,17.65,7005,9500,1515,9011,3135,9455,1000,9813,300,9196
187,14.4,18.5,16.45,1504,8358,400,9112,3121,9084,1507,9554,1104,9081
188,16.9,17.1,17,3117,9242,1000,9223,3242,L186,904,9081,1204,9554
189,17.1,14.7,15.9,1503,L214,3064,9089,1513,L040,1107,9694,1203,9113
190,14.1,14.2,14.15,3134,8005,3081,9853,1000,9455,902,9023,300,L209
191,13.1,16,14.55,7035,9504,1000,9243,3103,L127,901,9554,1518,9099
192,14.9,15.1,15,3103,8525,3103,9457,1202,9204,1515,9129,3013,L066
193,13.8,17.7,15.75,1510,9841,1516,9448,1516,9238,3164,9664,6800,8014
194,17.2,15.4,16.3,3135,9117,1506,9182,501,9448,3131,9878,602,8262
195,16.2,15.6,15.9,1103,L227,1516,8364,502,8067,3141,L080,1105,9125
196,19.1,14.1,16.6,6800,9119,3135,9936,3103,8126,3118,L052,1107,9182
197,19.8,15,17.4,7110,8011,3162,9473,7001,9500,3061,9673,502,8067
198,13.9,15.1,14.5,1110,9847,3065,9119,300,9113,504,9494,3131,8002
199,14.4,20,17.2,906,9155,1204,9554,1104,9081,3143,9498,1506,9006
200,16.7,13.6,15.15,901,9554,1517,9147,3062,9853,1507,9554,3091,9563
201,14,16.4,15.2,1507,9554,7230,8143,903,L231,300,9012,504,9494
202,15,15.7,15.35,3091,9853,1000,9056,3242,L186,7105,9924,3065,9119
203,15,17,16,902,9020,1507,9554,1203,9113,1000,9455,300,9104
204,17.5,13.5,15.5,1518,L221,1000,9113,1203,9119,1108,9813,3163,9148
205,16.5,14.8,15.65,201,9204,3063,9722,140,9022,7001,9500,7230,9861
206,15.9,15.1,15.5,400,9257,1000,9096,1501,9071,904,9081,1201,9752
207,16,13.4,14.7,7015,9504,3012,L021,1503,L214,1519,9104,1518,L209
208,17.4,11.8,14.6,1506,9182,7110,9177,1114,9066,3182,9152,7075,9500
209,19.4,17.8,18.6,3161,9003,6800,8014,902,9240,1107,9143,3134,9053
210,16.1,13.7,14.9,6800,9019,1107,9181,3121,9254,1105,L209,1202,9853
211,13.6,16.7,15.15,501,9011,3013,9504,1204,9554,3134,9205,3134,9053
212,15.1,15.7,15.4,3117,9147,1516,9002,3014,L135,1107,9182,1518,L162
213,15.3,17.3,16.3,160,8571,1518,9345,6800,9448,1000,9192,300,9123
214,16.3,17,16.65,1103,9385,1519,9104,7040,9500,6800,L189,203,9494
215,16.7,11.8,14.25,904,9081,3118,9121,7005,9500,3023,8437,400,9740
216,15.9,18.4,17.15,3131,L272,1202,9254,505,9773,1114,9066,1518,L221
217,19.6,14.1,16.85,1519,9104,1000,9243,3063,9722,300,9119,3031,9242
218,17.1,15.7,16.4,604,9081,400,9074,7220,L161,1103,L227,3138,8097
219,17,16.4,16.7,3062,9675,3118,9123,3031,9152,7230,9890,3163,9119
220,13,19.9,16.45,1518,L209,1204,9707,1308,9147,3011,9140,1000,9147
221,15.4,16.6,16,3063,9801,300,L254,1000,9192,903,9099,903,9099
222,17.2,18.6,17.9,1518,9455,5402,9007,1107,L251,1000,9397,1103,9113
223,18.4,14.1,16.25,3063,9061,6800,9156,3182,9123,1104,9081,1507,9554
224,16.6,15.6,16.1,3117,9991,7230,8138,1105,L209,300,L209,904,9081
225,17.5,16.8,17.15,501,9113,3131,8264,3102,9886,1201,L237,3022,9238
226,15.5,16.9,16.2,1516,9023,1519,9104,1105,L209,5402,9007,1502,9072
227,16.9,14.4,15.65,1504,8358,7220,L067,1000,9104,300,9113,903,9119
228,16.4,17.9,17.15,1000,9113,1502,L010,3064,9123,203,9011,3138,9119
229,18.5,13.4,15.95,503,9081,7230,L068,1104,9081,3181,9853,1517,9081
230,10.8,14.4,12.6,7040,9549,1506,9204,1518,9121,3164,9498,3022,9238
231,17.5,17.8,17.65,7230,9504,506,9548,1307,L208,1518,L221,1518,L221
232,16.6,16.2,16.4,501,9141,6810,L282,503,9229,1518,9257,3152,9112
233,15.6,15.9,15.75,507,9238,1000,9056,1107,9192,502,8067,3152,L069
234,11,17.5,14.25,1105,L236,5402,9070,3163,9087,7020,L067,501,9113
235,18.5,14.8,16.65,1506,L097,6810,L282,1509,9847,1518,9345,506,9548
236,16.9,17.8,17.35,3123,9003,1203,L253,1308,9147,1113,9548,1103,L227
237,17.6,19.5,18.55,3134,L070,902,9020,6810,L280,3091,9005,3181,9850
238,14.4,13,13.7,603,9347,7110,9163,3051,9003,1000,L188,1000,9056
239,17.4,17.1,17.25,3162,9473,1515,9129,300,9141,1103,9086,602,9015
240,18.4,16.6,17.5,201,9219,3182,9123,3134,8005,300,9015,1000,9119
241,18.4,15.7,17.05,1204,9015,3062,9731,3135,9117,3163,9751,1105,L209
242,15.5,17.1,16.3,902,9240,1504,8358,1517,A013,1518,L162,3011,8005
243,16.4,16.4,16.4,1114,9066,1000,L218,3113,9010,6810,L282,3145,L034
244,16.3,11.8,14.05,3131,L272,3102,9112,3031,L140,3042,9563,3138,9045
245,18.3,13.9,16.1,1105,9123,1518,9455,1103,L227,1306,9069,6800,9240
246,17.2,16.9,17.05,1105,9125,1506,9252,1516,8109,3043,9112,1506,9252
247,14.7,15.2,14.95,3013,9890,1000,9006,6810,L282,1000,9006,6800,L030
248,14.9,18.2,16.55,3141,L080,603,9069,904,9147,1502,9072,1204,9012
249,16.4,13.1,14.75,3045,9165,3161,9003,7040,L101,1504,8358,1101,9554
250,14.3,16.1,15.2,1516,9019,1101,9554,1518,9099,602,L090,1518,L162
251,15.5,17.1,16.3,3081,9853,3081,8337,1105,9540,6810,L282,3091,9005
252,13.8,19,16.4,1503,L214,1504,9078,3023,8437,1000,9817,3135,9098
253,20,17.2,18.6,3112,9876,3118,9109,3131,9807,505,9181,1107,9181
254,16.2,18.4,17.3,604,9219,3331,L071,3102,9741,1204,9554,1510,9841
255,19.4,16.2,17.8,3153,9205,1103,9011,1000,9209,1000,9381,400,8184
256,11.2,15.1,13.15,3151,9633,7002,9500,1000,9104,1510,9162,1114,9066
257,16.2,16,16.1,7210,9549,3063,9061,502,8067,3011,9140,1518,9121
258,17.3,15.5,16.4,1202,9204,7045,8149,605,9707,3153,9628,3031,9152
259,16.6,18.7,17.65,602,9760,6800,8109,7035,L068,903,9113,1103,8258
260,17.9,16.7,17.3,1516,9448,1114,9066,1507,9554,400,9240,3145,L008
261,17.8,14.7,16.25,3042,8323,3139,8442,3117,9476,3113,9222,1508,9556
262,17.3,15.5,16.4,400,9740,300,L209,3117,9242,3065,L146,3105,9013
263,14.9,16.5,15.7,7110,9875,1103,8258,1000,9205,902,9240,1516,8014
264,15.1,19.6,17.35,3033,9470,7110,9217,902,9006,1308,9853,1000,9056
265,14.6,17.2,15.9,5402,9007,3042,L175,203,9016,203,9016,1000,9817
266,13.5,17.3,15.4,3135,9117,3153,9993,3112,9876,1114,9066,1506,9182
267,17.1,14.5,15.8,505,9181,3012,9235,903,L209,3182,9254,506,9548
268,17.1,16,16.55,1506,9252,1506,9139,1502,9790,904,9147,1518,L221
269,14.7,20,17.35,7210,9549,300,9002,904,9081,1109,9026,505,9694
270,16.2,14.4,15.3,904,9147,602,9104,3182,9205,201,9821,3182,9109
271,18,20,19,3163,9254,3051,L093,6810,L282,1103,9011,3139,8442
272,13.6,17.2,15.4,203,9013,1504,9078,3118,9121,1518,9121,3182,9205
273,20,17.8,18.9,3042,9082,3163,9087,1518,9121,3134,9058,3121,8014
274,13.1,15,14.05,3118,9121,7030,9500,1504,9078,3113,9231,1504,8358
275,15.7,15.4,15.55,3055,9726,3117,8015,3087,9254,3152,9112,903,L167
276,14,17.3,15.65,3331,L071,3241,9056,1516,9448,7002,9500,901,9813
277,15.4,17,16.2,1000,9019,300,9099,7045,9890,3135,9112,1108,9813
278,16.6,16.7,16.65,3105,L131,1506,9139,901,9554,901,9554,204,9240
279,17.3,15.1,16.2,1103,9385,1000,9141,1000,9113,1000,9195,3131,9807
280,10,15.4,12.7,3062,9054,505,9135,501,9113,1105,9123,1502,9790
281,20,16.6,18.3,3121,8014,3102,9627,904,9081,1518,9345,1510,9068
282,18.7,15.6,17.15,3053,9111,507,9026,3101,8476,7035,8149,3131,8264
283,19.7,15.3,17.5,3181,9853,3242,9112,1103,9696,203,9016,3112,9876
284,12.8,16.1,14.45,3331,9645,7110,9076,203,9494,201,9204,6800,L030
285,14.1,14.2,14.15,502,8067,3031,9990,300,9119,3186,L021,3135,9117
286,12.8,16.4,14.6,3118,9109,3182,9994,1000,9146,1201,9752,1000,9127
287,16.8,15.3,16.05,400,9025,3063,9061,7110,9076,1000,9089,903,9209
288,16.1,16.9,16.5,6800,9156,1000,9195,1502,9072,1506,9139,140,L121
289,18.8,17.4,18.1,1518,9099,1504,9078,501,9119,1202,9147,506,9813
290,17.7,14.5,16.1,6800,8109,7075,9500,7220,L068,3012,L194,1515,9011
291,17.6,16.7,17.15,1309,9011,7220,8152,1504,9078,7230,9890,1307,L208
292,17.6,13.1,15.35,300,9455,507,9026,1000,9146,3152,9862,3163,9087
293,14.9,13.9,14.4,7220,9504,1504,9078,1202,9238,505,9139,3164,9664
294,12.4,16.8,14.6,902,9040,1504,8358,1103,L227,1000,9098,604,9147
295,15.2,18.1,16.65,3134,8005,300,9252,3242,9380,1110,9847,1306,9196
296,13.4,16.1,14.75,1504,8358,3165,9731,3045,9188,7220,L067,901,9554
297,18.1,14.2,16.15,1515,9011,1518,9099,902,9917,300,9252,1514,8411
298,16.9,19.9,18.4,903,L231,6800,9157,1516,9448,507,9238,203,9210
299,15.9,17.8,16.85,903,9348,203,9003,3241,9056,903,8036,3122,L033
300,12.3,15.8,14.05,505,L109,1105,9104,3182,9123,502,9078,300,9119
301,14,16.4,15.2,1510,9162,300,L209,1503,9146,400,9139,5402,9070
302,14.7,17.2,15.95,3164,9498,3118,9089,3011,9869,1203,9113,1110,9847
303,14.1,16.3,15.2,3163,9148,3135,9117,3045,9188,3105,9848,501,9113
304,16.3,15.5,15.9,3135,9119,1204,9707,1506,9133,1105,9125,300,9069
305,16.1,13.5,14.8,1107,9192,7210,L068,503,9240,1506,9181,400,9918
306,18.1,20,19.05,903,9224,505,9694,1506,9133,1105,9104,1105,L236
307,18.9,14,16.45,3121,9254,1000,9006,3117,9476,400,L258,1517,9081
308,13.6,19.2,16.4,3013,9504,903,L231,1104,9081,1105,9540,1516,9019
309,18.6,16.3,17.45,1502,9754,3153,9993,1000,9209,300,9146,300,9119
310,14.5,17.4,15.95,3032,8311,7210,8149,604,L173,1506,9182,3163,9723
311,16.4,15.2,15.8,902,9020,1101,9554,3134,9829,3241,9152,1502,9754
312,15.9,18.3,17.1,1000,9146,6810,L279,400,9015,300,9002,1110,9847
313,15.8,14.6,15.2,1306,9219,1103,L227,7110,9163,602,9104,170,9081
314,13,14.4,13.7,505,9181,903,L209,1518,9345,501,9455,7020,L066
315,16.9,13.6,15.25,1507,9554,1504,8358,604,9853,3135,9098,1502,9790
316,18.3,18.8,18.55,7230,L068,503,9240,3138,8015,6800,9098,501,9119
317,18.6,18,18.3,1000,9192,1000,9056,902,9145,3152,9112,3135,9117
318,16.4,15.2,15.8,3153,9993,1504,9078,1517,9081,1105,L209,3138,8097
319,15.6,13.5,14.55,3064,9105,1516,9448,3065,L146,1000,9379,3135,9089
320,13.1,20,16.55,7110,9217,1502,L010,7110,9076,1000,9127,1000,9192
321,16.4,17.4,16.9,1103,9086,3064,9105,3181,9084,1107,L251,901,9813
322,14.9,18.2,16.55,902,9204,1502,9754,7230,9890,1110,9847,3163,9751
323,14.8,14.6,14.7,1516,9240,1103,9146,1504,8358,605,L256,903,9348
324,16.4,13.9,15.15,906,L188,3031,9994,3135,9123,902,9917,1109,9026
325,17.4,15.2,16.3,6800,L030,902,9020,1114,9078,3164,8516,3142,L179
326,15.8,18.2,17,602,9003,903,9116,1000,9104,902,9006,203,9011
327,18.9,15.9,17.4,1518,L162,3101,9853,1516,8014,1103,L227,1109,9026
328,19.6,20,19.8,7015,9500,1105,L209,3135,9098,3153,9627,1101,9554
