Instituição,Curso,Vagas,Colocacoes,Nota_Mínima
Universidade do Minho,Gestão,94,94,14.750000
Universidade do Minho,História,43,43,16.100000
Universidade do Minho,Línguas Aplicadas,51,54,15.850000
Universidade do Minho,Línguas e Literaturas Europeias,59,59,15.550000
Universidade do Minho,Marketing,45,45,15.550000
Universidade do Minho,Matemática,33,34,16.700001
Universidade do Minho,Psicologia,67,23,10.000000
Universidade do Minho,Química,24,25,17.500000
Universidade do Minho,Relações Internacionais,67,68,15.450000
Universidade do Minho,Sociologia,57,58,14.400000
Universidade do Minho,Teatro,25,25,16.700001
Universidade do Minho,Arquitetura,55,55,15.450000
Universidade do Minho,Educação,50,50,15.550000
Universidade do Minho,Ciências do Ambiente,40,40,14.700000
Universidade do Minho,Estatística Aplicada,25,25,16.950001
Universidade do Minho,Ciências da Computação,76,76,15.800000
Universidade do Minho,Engenharia Biomédica,65,67,15.100000
Universidade do Minho,Design e Marketing de Moda,30,32,16.200001
Universidade do Minho,Biologia Aplicada,57,57,15.000000
Universidade do Minho,Negócios Internacionais,33,33,17.350000
Universidade do Minho,Medicina,120,71,10.000000
Universidade do Minho,Artes Visuais,25,25,16.450001
Universidade do Minho,Educação Básica,52,52,15.250000
Universidade do Minho,Estudos Portugueses,32,35,16.000000
Universidade do Minho,Criminologia e Justiça Criminal,35,15,10.000000
Universidade do Minho,Proteção Civil e Gestão do Território,24,24,16.299999
Universidade do Minho,Estudos Orientais: Estudos Chineses e Japoneses,38,38,15.600000
Universidade do Minho,Ciência de Dados,31,32,17.299999
Universidade do Minho,Engenharia e Gestão de Sistemas de Informação,140,141,14.100000
Universidade do Minho,Engenharia Eletrónica Industrial e Computadores,88,91,14.150000
Universidade do Minho,Engenharia Aeroespacial,30,16,10.000000
Universidade do Minho,Engenharia de Polímeros,30,30,16.600000
Universidade do Porto - Faculdade de Ciências da Nutrição e da Alimentação,Ciências da Nutrição,67,68,16.900000
Universidade do Porto - Faculdade de Arquitetura,Arquitetura,123,65,10.000000
Universidade do Porto - Faculdade de Ciências,Arquitetura Paisagista,27,28,17.549999
Universidade do Porto - Faculdade de Ciências,Biologia,131,135,15.950000
Universidade do Porto - Faculdade de Ciências,Bioquímica,102,16,10.000000
Universidade do Porto - Faculdade de Ciências,Engenharia Agronómica,24,26,16.900000
Universidade do Porto - Faculdade de Ciências,Engenharia Física,66,67,15.300000
Universidade do Porto - Faculdade de Ciências,Física,58,58,14.250000
Universidade do Porto - Faculdade de Ciências,Geologia,35,36,16.200001
Universidade do Porto - Faculdade de Ciências,Matemática,62,62,13.300000
Universidade do Porto - Faculdade de Ciências,Química,48,48,15.650000
Universidade do Porto - Faculdade de Ciências,Matemática Aplicada,40,40,16.000000
Universidade do Porto - Faculdade de Ciências,Ciência de Computadores,58,62,15.250000
Universidade do Porto - Faculdade de Ciências,Ciências e Tecnologia do Ambiente,42,26,10.000000
Universidade do Porto - Faculdade de Ciências,Engenharia Geoespacial,23,23,17.200001
Universidade do Porto - Faculdade de Ciências,Inteligência Artificial e Ciência de Dados,60,61,17.100000
Universidade do Porto - Faculdade de Economia,Economia,208,210,15.750000
Universidade do Porto - Faculdade de Economia,Gestão,208,209,14.650000
Universidade do Porto - Faculdade de Engenharia,Engenharia Civil,121,86,10.000000
Universidade do Porto - Faculdade de Engenharia,Engenharia de Materiais,27,27,16.350000
Universidade do Porto - Faculdade de Engenharia,Engenharia do Ambiente,34,34,17.200001
Universidade do Porto - Faculdade de Engenharia,Engenharia e Gestão Industrial,107,108,16.750000
Universidade do Porto - Faculdade de Engenharia,Engenharia Mecânica,200,186,10.000000
Universidade do Porto - Faculdade de Engenharia,Engenharia Química,63,63,16.549999
Universidade do Porto - Faculdade de Engenharia,Bioengenharia,92,92,16.850000
Universidade do Porto - Faculdade de Engenharia,Engenharia Eletrotécnica e de Computadores,230,235,16.250000
Universidade do Porto - Faculdade de Engenharia,Engenharia Informática e Computação,283,20,10.000000
Universidade do Porto - Faculdade de Engenharia,Engenharia de Minas e Geo-Ambiente,20,20,17.900000
Universidade do Porto - Faculdade de Farmácia,Ciências Farmacêuticas,187,75,10.000000
Universidade do Porto - Faculdade de Letras,Arqueologia,29,29,16.799999
Universidade do Porto - Faculdade de Letras,Ciências da Comunicação,74,65,10.000000
Universidade do Porto - Faculdade de Letras,Ciências da Linguagem,24,25,16.900000
Universidade do Porto - Faculdade de Letras,Filosofia,55,59,15.650000
Universidade do Porto - Faculdade de Letras,Geografia,69,72,16.200001
Universidade do Porto - Faculdade de Letras,História,77,77,14.550000
Universidade do Porto - Faculdade de Letras,História da Arte,38,38,16.000000
Universidade do Porto - Faculdade de Letras,Línguas Aplicadas,52,54,16.299999
Universidade do Porto - Faculdade de Letras,Línguas e Relações Internacionais,66,67,16.100000
Universidade do Porto - Faculdade de Letras,Línguas  Literaturas e Culturas,79,79,14.900000
Universidade do Porto - Faculdade de Letras,Sociologia,44,45,15.750000
Universidade do Porto - Faculdade de Letras,Ciência da Informação,46,46,15.850000
Universidade do Porto - Faculdade de Letras,Literatura e Estudos Interartes,42,42,17.700001
Universidade do Porto - Faculdade de Medicina,Medicina,245,190,10.000000
Universidade do Porto - Faculdade de Psicologia e de Ciências da Educação,Ciências da Educação,52,52,16.950001
Universidade do Porto - Faculdade de Psicologia e de Ciências da Educação,Psicologia,123,109,10.000000
Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar,Ciências do Meio Aquático,39,41,17.400000
Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar,Medicina,155,155,14.450000
Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar,Medicina Veterinária,61,62,16.500000
Universidade do Porto - Faculdade de Desporto,Ciências do Desporto,124,126,15.500000
Universidade do Porto - Faculdade de Medicina Dentária,Medicina Dentária,65,66,15.700000
Universidade do Porto - Faculdade de Direito,Criminologia,51,52,17.350000
Universidade do Porto - Faculdade de Direito,Direito,172,30,10.000000
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias,Engenharia Agronómica,25,25,15.550000
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias,Engenharia Zootécnica,25,25,15.800000
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias,Enologia,36,37,16.950001
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias,Medicina Veterinária,90,1,10.000000
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias,Engenharia e Biotecnologia Florestal,26,27,14.950000
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais,Animação Sociocultural,28,29,16.850000
