Instituição,Curso,Vagas,Colocacoes,Nota_Mínima
Universidade da Beira Interior,Ciências da Cultura,22,22,16.750000
Universidade da Beira Interior,Cinema,48,49,16.150000
Universidade da Beira Interior,Design de Moda,60,60,14.300000
Universidade da Beira Interior,Design Industrial,53,54,14.900000
Universidade da Beira Interior,Design Multimédia,48,48,15.250000
Universidade da Beira Interior,Economia,51,2,10.000000
Universidade da Beira Interior,Engenharia Civil,22,22,15.000000
Universidade da Beira Interior,Engenharia e Gestão Industrial,30,30,14.050000
Universidade da Beira Interior,Engenharia Eletromecânica,39,2,10.000000
Universidade da Beira Interior,Engenharia Eletrotécnica e de Computadores,27,28,16.950001
Universidade da Beira Interior,Engenharia Informática,80,28,10.000000
Universidade da Beira Interior,Filosofia,21,21,17.150000
Universidade da Beira Interior,Gestão,82,77,10.000000
Universidade da Beira Interior,Marketing,37,37,16.350000
Universidade da Beira Interior,Psicologia,53,39,10.000000
Universidade da Beira Interior,Química Industrial,27,27,16.250000
Universidade da Beira Interior,Sociologia,45,45,16.200001
Universidade da Beira Interior,Arquitetura,64,64,15.750000
Universidade da Beira Interior,Ciências Biomédicas,70,70,15.350000
Universidade da Beira Interior,Ciências Farmacêuticas,62,63,15.650000
Universidade da Beira Interior,Ciências do Desporto,63,66,15.650000
Universidade da Beira Interior,Engenharia Aeronáutica,60,60,17.150000
Universidade da Beira Interior,Medicina,145,14,10.000000
Universidade da Beira Interior,Matemática e Aplicações,22,22,15.950000
Universidade da Beira Interior,Estudos Portugueses e Espanhóis,29,29,15.400000
Universidade da Beira Interior,Informática Web,30,9,10.000000
Universidade da Beira Interior,Física e Aplicações,27,4,10.000000
Universidade da Beira Interior,Tecnologia e Produto de Moda Sustentável,20,20,15.100000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Química Medicinal,30,30,16.650000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Biologia,100,102,14.600000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Bioquímica,65,52,10.000000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Civil,55,41,10.000000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia do Ambiente,21,22,17.000000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia e Gestão Industrial,57,59,14.950000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Física,35,36,17.299999
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Informática,145,146,15.050000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Mecânica,110,67,10.000000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Química,45,45,14.350000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Física,25,26,15.500000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Geologia,29,30,16.100000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Matemática,40,40,14.400000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Química,29,31,16.500000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Arquitetura,61,61,15.000000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Antropologia,47,48,16.150000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Biomédica,64,64,15.950000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Design e Multimédia,74,74,14.050000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia e Ciência de Dados,40,40,16.000000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Engenharia Eletrotécnica e de Computadores,101,82,10.000000
Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Gestão de Cidades Sustentáveis e Inteligentes,47,47,15.350000
Universidade de Coimbra - Faculdade de Direito,Administração Público-Privada,41,42,17.950001
Universidade de Coimbra - Faculdade de Direito,Direito,334,334,13.350000
Universidade de Coimbra - Faculdade de Economia,Economia,154,154,14.650000
Universidade de Coimbra - Faculdade de Economia,Gestão,89,90,14.350000
Universidade de Coimbra - Faculdade de Economia,Relações Internacionais,52,53,15.550000
Universidade de Coimbra - Faculdade de Economia,Sociologia,41,42,17.400000
Universidade de Coimbra - Faculdade de Farmácia,Ciências Farmacêuticas,207,81,10.000000
Universidade de Coimbra - Faculdade de Farmácia,Ciências Bioanalíticas,31,32,15.700000
Universidade de Coimbra - Faculdade de Farmácia,Farmácia Biomédica,30,31,15.650000
Universidade de Coimbra - Faculdade de Letras,Português,36,36,15.150000
Universidade de Coimbra - Faculdade de Letras,Arqueologia,25,26,16.299999
Universidade de Coimbra - Faculdade de Letras,Estudos Artísticos,35,35,14.950000
Universidade de Coimbra - Faculdade de Letras,Estudos Clássicos,20,20,16.450001
Universidade de Coimbra - Faculdade de Letras,Estudos Europeus,33,33,15.600000
Universidade de Coimbra - Faculdade de Letras,Filosofia,28,30,16.500000
Universidade de Coimbra - Faculdade de Letras,Geografia,68,69,15.850000
Universidade de Coimbra - Faculdade de Letras,História,63,53,10.000000
Universidade de Coimbra - Faculdade de Letras,História da Arte,24,24,15.500000
Universidade de Coimbra - Faculdade de Letras,Ciência da Informação,29,29,16.250000
Universidade de Coimbra - Faculdade de Letras,Jornalismo e Comunicação,50,51,16.400000
Universidade de Coimbra - Faculdade de Letras,Línguas Modernas,80,69,10.000000
Universidade de Coimbra - Faculdade de Letras,Turismo  Território e Patrimónios,33,36,16.700001
Universidade de Coimbra - Faculdade de Medicina,Medicina Dentária,53,55,17.500000
Universidade de Coimbra - Faculdade de Medicina,Medicina,260,172,10.000000
Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação,Ciências da Educação,70,71,16.650000
Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação,Psicologia,130,69,10.000000
Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação,Serviço Social,32,32,16.950001
Universidade de Coimbra - Faculdade de Ciências do Desporto e Educação Física,Ciências do Desporto,120,70,10.000000
Universidade de Évora - Escola de Ciências e Tecnologia,Biologia Humana,32,32,15.750000
Universidade de Évora - Escola de Ciências e Tecnologia,Agronomia,41,41,15.950000
Universidade de Évora - Escola de Ciências e Tecnologia,Biologia,35,17,10.000000
Universidade de Évora - Escola de Ciências e Tecnologia,Biologia e Geologia,10,11,16.900000
Universidade de Évora - Escola de Ciências e Tecnologia,Bioquímica,32,32,15.550000
Universidade de Évora - Escola de Ciências e Tecnologia,Biotecnologia,28,11,10.000000
Universidade de Évora - Escola de Ciências e Tecnologia,Engenharia e Gestão Industrial,11,12,16.850000
Universidade de Évora - Escola de Ciências e Tecnologia,Engenharia Informática,60,60,12.900000
Universidade de Évora - Escola de Ciências e Tecnologia,Geografia,30,12,10.000000
Universidade de Évora - Escola de Ciências e Tecnologia,Matemática,10,11,16.350000
Universidade de Évora - Escola de Ciências e Tecnologia,Matemática Aplicada à Economia e à Gestão,25,24,10.000000
Universidade de Évora - Escola de Ciências e Tecnologia,Engenharia Mecatrónica,40,35,10.000000
Universidade de Évora - Escola de Ciências e Tecnologia,Enologia,20,8,10.000000
Universidade de Évora - Escola de Ciências e Tecnologia,Física e Química,20,22,16.150000
Universidade de Évora - Escola de Ciências e Tecnologia,Ciência e Tecnologia Animal,38,40,16.500000
Universidade de Évora - Escola de Ciências e Tecnologia,Medicina Veterinária,55,2,10.000000
Universidade de Évora - Escola de Ciências e Tecnologia,Engenharia de Energias Renováveis,20,20,15.350000
Universidade de Évora - Escola de Ciências e Tecnologia,Ecologia e Ambiente,20,22,16.549999
Universidade de Évora - Escola de Artes,Design,36,38,14.900000
Universidade de Évora - Escola de Artes,Teatro,22,23,16.100000
Universidade de Évora - Escola de Artes,Arquitetura,34,34,15.650000
Universidade de Évora - Escola de Artes,Artes Plásticas e Multimédia,33,33,16.000000
Universidade de Évora - Escola de Ciências Sociais,História e Arqueologia,40,40,15.000000
Universidade de Évora - Escola de Ciências Sociais,Ciências da Educação,30,30,15.950000
Universidade de Évora - Escola de Ciências Sociais,Economia,40,40,16.549999
Universidade de Évora - Escola de Ciências Sociais,Gestão,68,68,15.400000
Universidade de Évora - Escola de Ciências Sociais,Psicologia,54,55,15.800000
Universidade de Évora - Escola de Ciências Sociais,Relações Internacionais,64,64,14.350000
Universidade de Évora - Escola de Ciências Sociais,Sociologia,42,43,15.650000
Universidade de Évora - Escola de Ciências Sociais,Turismo,42,42,12.650000
Universidade de Évora - Escola de Ciências Sociais,Património Cultural,22,22,15.250000
Universidade de Évora - Escola de Ciências Sociais,Educação Básica,24,24,16.500000
Universidade de Évora - Escola de Ciências Sociais,Línguas e Literaturas,50,28,10.000000
Universidade de Évora - Escola de Ciências Sociais,Estudos de Filosofia e de Cultura Contemporânea,20,20,17.400000
Universidade de Évora - Escola de Saúde e Desenvolvimento Humano,Ciências do Desporto,53,53,13.250000
Universidade de Évora - Escola de Saúde e Desenvolvimento Humano,Reabilitação Psicomotora,27,28,15.600000
Universidade de Évora - Escola de Saúde e Desenvolvimento Humano,Ciências Biomédicas e da Saúde,20,21,16.049999
Universidade Nova de Lisboa - Faculdade de Ciências Médicas,Ciências da Nutrição,22,23,17.900000
Universidade Nova de Lisboa - Faculdade de Ciências Médicas,Medicina,231,30,10.000000
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Sociologia (regime pós-laboral),20,20,16.200001
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Arqueologia,27,27,17.350000
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Ciência Política e Relações Internacionais,98,99,15.950000
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Ciências da Comunicação,96,49,10.000000
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Ciências da Linguagem,20,21,16.850000
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Ciências Musicais,45,46,15.200000
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Filosofia,25,28,16.450001
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Geografia e Planeamento Regional,58,58,15.300000
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,História,45,46,15.800000
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,História da Arte,40,40,16.549999
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Línguas  Literaturas e Culturas,76,76,15.600000
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Sociologia,57,57,15.900000
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Tradução,60,61,14.550000
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Antropologia,43,44,14.000000
Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Estudos Portugueses,20,20,16.299999
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Conservação - Restauro,27,27,17.250000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Bioquímica,80,80,12.700000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Civil,50,50,13.500000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia de Materiais,25,26,16.250000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia do Ambiente,55,55,15.900000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia e Gestão Industrial,55,56,14.800000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Física,28,28,14.750000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Geológica,20,21,17.799999
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Informática,170,171,14.550000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Mecânica,75,75,15.400000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Química e Biológica,71,67,10.000000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Matemática,25,25,15.900000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Química Aplicada,32,32,16.750000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Biologia Celular e Molecular,65,66,15.600000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Biomédica,60,60,13.700000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Matemática Aplicada à Gestão do Risco,25,26,17.600000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Eletrotécnica e de Computadores,166,163,10.000000
Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia de Micro e Nanotecnologias,66,66,17.299999
Universidade Nova de Lisboa - Faculdade de Economia,Economia,195,199,16.350000
Universidade Nova de Lisboa - Faculdade de Economia,Gestão,290,129,10.000000
Universidade Nova de Lisboa - Instituto Superior de Estatística e Gestão de Informação,Sistemas e Tecnologias de Informação,48,49,16.350000
Universidade Nova de Lisboa - Instituto Superior de Estatística e Gestão de Informação,Gestão de Informação,69,69,15.700000
Universidade Nova de Lisboa - Instituto Superior de Estatística e Gestão de Informação,Ciência de Dados,50,50,16.750000
Universidade Nova de Lisboa - Faculdade de Direito,Direito,100,81,10.000000
Universidade do Minho,Geografia e Planeamento,44,44,14.650000
Universidade do Minho,Optometria e Ciências da Visão,35,35,13.650000
Universidade do Minho,Direito (regime pós-laboral),15,16,16.150000
Universidade do Minho,Educação (regime pós-laboral),25,25,15.500000
Universidade do Minho,Design de Produto,33,35,15.800000
Universidade do Minho,Administração Pública,41,42,14.850000
Universidade do Minho,Arqueologia,21,24,16.450001
Universidade do Minho,Biologia e Geologia,48,49,16.000000
Universidade do Minho,Bioquímica,66,66,14.150000
Universidade do Minho,Ciência Política,30,30,16.700001
Universidade do Minho,Ciências da Comunicação,65,65,15.000000
Universidade do Minho,Contabilidade,35,35,16.900000
Universidade do Minho,Direito,110,110,15.400000
Universidade do Minho,Economia,85,67,10.000000
Universidade do Minho,Engenharia Civil,34,35,15.100000
Universidade do Minho,Engenharia de Materiais,27,27,12.800000
Universidade do Minho,Engenharia de Telecomunicações e Informática,36,37,16.900000
Universidade do Minho,Engenharia e Gestão Industrial,68,68,14.700000
Universidade do Minho,Engenharia Física,35,35,17.350000
Universidade do Minho,Engenharia Informática,170,171,14.350000
Universidade do Minho,Engenharia Mecânica,82,83,13.800000
Universidade do Minho,Engenharia Química e Biológica,42,19,10.000000
Universidade do Minho,Engenharia Têxtil,25,25,15.100000
Universidade do Minho,Estudos Culturais,21,21,15.750000
Universidade do Minho,Filosofia,27,27,14.100000
Universidade do Minho,Física,27,27,13.900000
Universidade do Minho,Geologia,21,21,17.549999
Universidade do Minho,Gestão,94,94,13.500000
Universidade do Minho,História,43,44,16.000000
Universidade do Minho,Línguas Aplicadas,51,52,15.850000
Universidade do Minho,Línguas e Literaturas Europeias,59,59,15.650000
Universidade do Minho,Marketing,45,47,15.200000
Universidade do Minho,Matemática,33,33,16.700001
Universidade do Minho,Psicologia,67,22,10.000000
Universidade do Minho,Química,24,24,17.000000
Universidade do Minho,Relações Internacionais,67,67,15.350000
Universidade do Minho,Sociologia,57,58,13.950000
Universidade do Minho,Teatro,25,25,16.950001
Universidade do Minho,Arquitetura,55,55,15.250000
Universidade do Minho,Educação,50,51,15.500000
Universidade do Minho,Ciências do Ambiente,40,40,15.050000
Universidade do Minho,Estatística Aplicada,25,26,17.000000
Universidade do Minho,Ciências da Computação,76,78,15.700000
Universidade do Minho,Engenharia Biomédica,65,65,13.800000
Universidade do Minho,Design e Marketing de Moda,30,30,16.500000
Universidade do Minho,Biologia Aplicada,57,59,14.800000
Universidade do Minho,Negócios Internacionais,33,33,17.400000
Universidade do Minho,Medicina,120,71,10.000000
Universidade do Minho,Artes Visuais,25,25,16.900000
Universidade do Minho,Educação Básica,52,52,14.950000
Universidade do Minho,Estudos Portugueses,32,32,15.600000
Universidade do Minho,Criminologia e Justiça Criminal,35,14,10.000000
Universidade do Minho,Proteção Civil e Gestão do Território,24,24,16.250000
Universidade do Minho,Estudos Orientais: Estudos Chineses e Japoneses,38,38,15.300000
Universidade do Minho,Ciência de Dados,31,31,17.200001
Universidade do Minho,Engenharia e Gestão de Sistemas de Informação,140,112,10.000000
Universidade do Minho,Engenharia Eletrónica Industrial e Computadores,88,79,10.000000
Universidade do Minho,Engenharia Aeroespacial,30,16,10.000000
Universidade do Minho,Engenharia de Polímeros,30,30,16.700001
Universidade do Porto - Faculdade de Ciências da Nutrição e da Alimentação,Ciências da Nutrição,67,68,16.600000
Universidade do Porto - Faculdade de Arquitetura,Arquitetura,123,61,10.000000
Universidade do Porto - Faculdade de Ciências,Arquitetura Paisagista,27,28,17.450001
Universidade do Porto - Faculdade de Ciências,Biologia,131,134,15.050000
Universidade do Porto - Faculdade de Ciências,Bioquímica,102,8,10.000000
Universidade do Porto - Faculdade de Ciências,Engenharia Agronómica,24,24,17.200001
Universidade do Porto - Faculdade de Ciências,Engenharia Física,66,67,15.050000
Universidade do Porto - Faculdade de Ciências,Física,58,58,14.400000
Universidade do Porto - Faculdade de Ciências,Geologia,35,35,16.400000
Universidade do Porto - Faculdade de Ciências,Matemática,62,55,10.000000
Universidade do Porto - Faculdade de Ciências,Química,48,48,15.400000
Universidade do Porto - Faculdade de Ciências,Matemática Aplicada,40,41,16.200001
Universidade do Porto - Faculdade de Ciências,Ciência de Computadores,58,58,14.900000
Universidade do Porto - Faculdade de Ciências,Ciências e Tecnologia do Ambiente,42,5,10.000000
Universidade do Porto - Faculdade de Ciências,Engenharia Geoespacial,23,25,16.850000
Universidade do Porto - Faculdade de Ciências,Inteligência Artificial e Ciência de Dados,60,61,17.250000
Universidade do Porto - Faculdade de Economia,Economia,208,212,16.049999
Universidade do Porto - Faculdade de Economia,Gestão,208,211,14.750000
Universidade do Porto - Faculdade de Engenharia,Engenharia Civil,121,62,10.000000
Universidade do Porto - Faculdade de Engenharia,Engenharia de Materiais,27,27,16.000000
Universidade do Porto - Faculdade de Engenharia,Engenharia do Ambiente,34,36,17.500000
Universidade do Porto - Faculdade de Engenharia,Engenharia e Gestão Industrial,107,111,16.450001
Universidade do Porto - Faculdade de Engenharia,Engenharia Mecânica,200,176,10.000000
Universidade do Porto - Faculdade de Engenharia,Engenharia Química,63,63,16.600000
Universidade do Porto - Faculdade de Engenharia,Bioengenharia,92,95,16.700001
Universidade do Porto - Faculdade de Engenharia,Engenharia Eletrotécnica e de Computadores,230,239,16.150000
Universidade do Porto - Faculdade de Engenharia,Engenharia Informática e Computação,283,18,10.000000
Universidade do Porto - Faculdade de Engenharia,Engenharia de Minas e Geo-Ambiente,20,20,18.000000
Universidade do Porto - Faculdade de Farmácia,Ciências Farmacêuticas,187,66,10.000000
Universidade do Porto - Faculdade de Letras,Arqueologia,29,29,16.950001
Universidade do Porto - Faculdade de Letras,Ciências da Comunicação,74,47,10.000000
Universidade do Porto - Faculdade de Letras,Ciências da Linguagem,24,26,16.700001
Universidade do Porto - Faculdade de Letras,Filosofia,55,55,15.850000
Universidade do Porto - Faculdade de Letras,Geografia,69,69,16.200001
Universidade do Porto - Faculdade de Letras,História,77,77,14.300000
Universidade do Porto - Faculdade de Letras,História da Arte,38,39,16.350000
Universidade do Porto - Faculdade de Letras,Línguas Aplicadas,52,54,16.450001
Universidade do Porto - Faculdade de Letras,Línguas e Relações Internacionais,66,66,15.700000
Universidade do Porto - Faculdade de Letras,Línguas  Literaturas e Culturas,79,80,14.350000
Universidade do Porto - Faculdade de Letras,Sociologia,44,44,15.700000
Universidade do Porto - Faculdade de Letras,Ciência da Informação,46,46,15.400000
Universidade do Porto - Faculdade de Letras,Literatura e Estudos Interartes,42,44,17.700001
Universidade do Porto - Faculdade de Medicina,Medicina,245,146,10.000000
Universidade do Porto - Faculdade de Psicologia e de Ciências da Educação,Ciências da Educação,52,52,17.150000
Universidade do Porto - Faculdade de Psicologia e de Ciências da Educação,Psicologia,123,96,10.000000
Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar,Ciências do Meio Aquático,39,39,17.400000
Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar,Medicina,155,155,13.600000
Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar,Medicina Veterinária,61,63,16.700001
Universidade do Porto - Faculdade de Desporto,Ciências do Desporto,124,125,14.850000
Universidade do Porto - Faculdade de Medicina Dentária,Medicina Dentária,65,66,15.400000
Universidade do Porto - Faculdade de Direito,Criminologia,51,54,17.100000
Universidade do Porto - Faculdade de Direito,Direito,172,20,10.000000
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias,Engenharia Agronómica,25,25,15.350000
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias,Engenharia Zootécnica,25,25,16.549999
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias,Enologia,36,39,17.150000
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias,Medicina Veterinária,90,2,10.000000
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias,Engenharia e Biotecnologia Florestal,26,26,15.600000
Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais,Animação Sociocultural,28,28,16.650000
