ID Candidato,PI,12,Nota Candidatura,Curso 1,,Curso 2,,Curso 3,,Curso 4,,Curso 5,
97,14.3,16,15.15,502,8067,3102,9112,3064,9105,1103,L227,,
98,16.4,15.4,15.9,1000,9195,3082,9173,3092,9147,3164,9498,1502,L010
99,15.5,15,15.25,1103,9011,3121,9254,7015,8149,7080,9500,,
100,10.5,16,13.25,3134,9227,1110,9708,602,9751,,,,
101,16.8,15.9,16.35,502,8067,7040,9549,503,9147,,,,
102,13.7,17.9,15.8,1518,9099,400,8184,7035,8149,,,,
103,17.8,16.4,17.1,203,9013,206,9351,502,8067,1107,9040,,
104,16,16.5,16.25,1506,9006,1507,9813,,,,,,
105,15,17.5,16.25,605,9707,1508,9791,3042,9853,904,9081,1105,9125
106,12.9,18,15.45,1504,9078,7001,9500,1109,9219,400,9139,,
107,14.5,16,15.25,1514,8411,501,9125,1501,9071,3063,9801,,
108,13.3,11.2,12.25,400,9020,3043,9125,1504,8358,,,,
109,13.9,16.9,15.4,904,9081,300,L202,7230,L067,904,9081,,
110,16.4,20,18.2,603,9257,1506,L288,1105,L209,,,,
111,17.8,15.4,16.6,400,9240,904,9081,7015,9833,1203,9104,,
112,16.6,16.1,16.35,3105,9178,602,9003,400,9020,1105,9540,1504,8358
113,15.5,16.1,15.8,6810,L282,3103,8525,,,,,,
114,15.4,15.8,15.6,1103,8258,1103,8258,1000,9019,,,,
115,17.2,15.1,16.15,605,L256,1507,9554,501,9257,3162,9473,3153,8111
116,18.3,15.4,16.85,3331,9213,1000,9015,400,9219,901,9554,,
117,19.8,19.7,19.75,3134,9053,1104,9081,400,9257,7220,L066,,
118,17.3,14.8,16.05,1000,9146,300,L209,501,9113,300,9194,904,9081
119,16.1,19.8,17.95,1515,9129,1204,9554,,,,,,
120,11.6,15.6,13.6,602,L090,903,L167,,,,,,
121,11.1,17.4,14.25,7015,L068,1518,L221,903,9096,,,,
122,15.5,16.3,15.9,3042,8323,1110,9708,,,,,,
123,18.4,15.7,17.05,1506,8413,1518,9096,1202,9005,1204,9554,,
124,17,14,15.5,3135,9119,3105,9207,400,9740,501,9223,,
125,19.2,18.4,18.8,400,9147,3113,9191,300,9113,170,9147,,
126,13.4,16.6,15,501,9099,503,9240,1503,9015,,,,
127,17.3,15.5,16.4,400,9075,7015,9500,6800,8014,,,,
128,18.8,17.8,18.3,1518,9121,901,9554,3135,9119,3011,8005,,
129,20,14.6,17.3,1107,9197,3142,L179,,,,,,
130,12.8,16.2,14.5,1516,9448,3063,9061,1507,9554,,,,
131,12.7,16.8,14.75,3331,9244,1107,9694,6800,9119,3112,9005,,
132,17.4,18.1,17.75,1107,9197,3182,9254,203,9016,,,,
133,15.6,14.8,15.2,1000,9813,1105,L209,3141,L080,501,9011,,
134,14.6,15,14.8,501,9209,1204,9554,1202,9204,503,9147,,
135,16.8,12.4,14.6,1103,L227,6810,L282,,,,,,
136,16.4,16.2,16.3,1104,9081,1501,9257,904,9081,1203,9455,3162,9853
137,12.3,17.4,14.85,300,9012,1516,9448,,,,,,
138,16.6,17.4,17,1105,9540,1114,9066,1502,L010,3135,9098,3062,L095
139,17,17.1,17.05,3102,9242,1202,9803,,,,,,
140,15.7,18.6,17.15,203,9016,1204,9012,1000,9181,904,9081,400,9016
141,18.3,14.5,16.4,3143,9994,602,9104,1508,9791,,,,
142,13.6,14.5,14.05,300,9119,3113,8439,1518,L221,,,,
143,13.6,16.2,14.9,1105,9125,1518,9121,1510,9162,,,,
144,13,16.9,14.95,3118,9121,902,9040,6810,L282,,,,
145,14.2,16.5,15.35,3241,9056,3113,9191,1504,9078,3135,9110,,
146,15.2,16.2,15.7,3181,9084,7015,9833,1507,9554,,,,
147,17,18.2,17.6,504,9832,1107,9139,6800,8014,3103,L257,3092,9128
148,14.4,17.8,16.1,1502,L010,3113,8439,,,,,,
149,17.5,13.7,15.6,505,9135,501,8408,6800,9119,1105,9123,3011,9888
150,16.8,14.6,15.7,503,9240,3135,9117,1000,9209,,,,
151,16.9,18.8,17.85,1000,8183,7010,9500,,,,,,
152,15.9,16.8,16.35,3052,9485,602,9119,,,,,,
153,11.1,15.6,13.35,3063,9061,3145,L008,1105,9125,1504,9078,,
154,18.4,20,19.2,7110,9996,1308,9147,,,,,,
155,14.3,18.2,16.25,7230,9861,7015,9833,,,,,,
156,15.7,16.6,16.15,1114,9066,1104,9147,603,9347,3122,L033,3134,9053
157,16.7,18.8,17.75,602,9012,506,9548,,,,,,
158,17.6,16.5,17.05,7055,9556,7210,L067,,,,,,
159,14.2,16.1,15.15,6800,9119,203,9013,,,,,,
160,18.4,12.1,15.25,1103,L227,1104,9081,7020,L068,,,,
161,16.5,18.5,17.5,505,9182,7220,L066,1506,9135,,,,
162,20,13.2,16.6,1306,9069,1518,L209,300,9099,,,,
163,19.9,14.9,17.4,7230,L136,400,9139,,,,,,
164,17.6,13,15.3,1502,L010,1518,L209,1109,9219,400,9740,3105,9178
165,16,16.8,16.4,901,9554,506,9548,150,L041,1504,8358,,
166,15.6,17.6,16.6,3082,9148,3064,9455,3153,9629,300,9002,,
167,14.8,15.8,15.3,1000,9019,3121,9254,6800,9098,,,,
168,16.8,16.1,16.45,1000,9019,7055,9556,7020,9504,1503,9381,,
169,17.5,16.7,17.1,3135,9117,1104,9081,6800,9081,,,,
170,12.9,17.5,15.2,3182,9109,1321,9076,1506,L288,,,,
171,16.8,14.5,15.65,1518,L162,7230,8138,3153,9993,1105,9123,,
172,14.9,18.6,16.75,7020,L067,300,9041,400,9257,1504,8358,,
173,15.2,16,15.6,1000,9853,1105,9540,7105,9789,903,9099,,
174,18.3,12.8,15.55,1107,9192,903,9116,400,9112,300,9113,,
175,15.2,17.1,16.15,3135,9936,3131,8002,,,,,,
176,20,10,15,3011,8005,1519,9104,7110,8011,7005,8138,1000,9113
177,18.3,13.3,15.8,1000,9113,3012,8016,1507,9554,1202,9023,,
178,16.8,16.6,16.7,7055,9556,3013,9504,201,9219,,,,
179,15.8,15.5,15.65,7005,9500,3131,9807,1516,9229,7210,9861,,
180,13.7,15.3,14.5,1518,L162,300,9252,1000,L215,902,9139,1518,9345
181,15.7,14.9,15.3,1202,9005,1501,9069,3135,9110,,,,
182,15.8,13.6,14.7,1202,9238,206,9351,506,9548,1501,G008,,
183,15,14.7,14.85,501,9448,7105,9789,1202,9196,,,,
184,12.3,15.4,13.85,1000,9015,902,9020,1506,9182,300,9002,3011,8005
185,17.7,17.4,17.55,3118,9121,3045,9188,1000,L112,1104,9147,,
186,12.4,18.9,15.65,1110,9847,1518,9345,1203,9123,,,,
187,12.4,14.9,13.65,400,9257,903,9116,6800,9098,7230,9890,1000,L215
188,14.2,17.2,15.7,904,9081,1107,9182,1510,9162,300,L223,,
189,20,17.4,18.7,3135,9125,3101,9238,300,9096,7001,9500,,
190,14.3,19.3,16.8,1510,9162,6810,L274,3163,9119,1501,9071,,
191,17.7,13.8,15.75,3031,9152,903,9116,400,9707,1000,9113,,
192,16,16.2,16.1,1501,9071,603,9069,3101,9797,400,9351,1518,9345
193,18.3,16,17.15,1503,9223,3141,L259,7210,L066,503,9240,505,9143
194,15.7,16.6,16.15,1105,9540,508,9707,,,,,,
195,17.7,18.3,18,7092,9500,1000,9240,,,,,,
196,13.4,15.6,14.5,7001,9500,3064,9123,6800,L030,,,,
197,14.4,17.9,16.15,3117,9476,911,9078,300,L209,3041,L029,,
198,16.3,18.1,17.2,1109,9026,1519,9104,,,,,,
199,12.3,17.5,14.9,902,8109,170,9254,300,9223,501,9223,3135,9110
200,16.1,13.8,14.95,400,9494,1000,9209,3064,9123,400,9089,,
201,13.5,13.3,13.4,6800,L030,1307,L208,6810,L282,,,,
202,16.3,15.7,16,1502,L010,3155,9890,,,,,,
203,18.9,15.4,17.15,7055,9556,206,9351,,,,,,
204,15.9,20,17.95,901,9554,1504,9078,6800,9240,904,9081,,
205,18.6,14.9,16.75,1105,9104,1105,L236,3241,9056,,,,
206,11.1,16.9,14,1103,8258,1105,L209,3105,L131,,,,
207,12.1,13.5,12.8,1105,L236,1105,L236,1507,9554,1000,9223,,
208,15.3,11,13.15,1103,9086,7230,9861,,,,,,
209,14.8,15.7,15.25,3062,9717,300,L209,3022,9010,,,,
210,13.3,16.8,15.05,6800,9219,1502,8399,1202,9023,,,,
211,18.2,14.2,16.2,1501,9257,1502,L010,1504,9078,1506,9139,,
212,12.9,18.5,15.7,7002,9500,7045,9500,,,,,,
213,18,16.4,17.2,3153,9993,903,8036,1503,9385,1204,9707,,
214,19.4,15.5,17.45,1110,9813,1518,L162,1306,9069,1000,9002,1105,9125
215,18.4,10,14.2,3062,9717,1503,9011,3011,9140,3123,9003,,
216,15.1,20,17.55,1105,L209,1504,8358,1510,9162,,,,
217,19.5,17.2,18.35,1105,L209,1107,L251,7230,9890,3011,9056,,
218,13.9,13.4,13.65,3135,9110,3064,9105,3162,9473,,,,
219,16,12.4,14.2,1517,9081,7001,9500,605,9707,6800,9119,,
220,16,16.9,16.45,501,9141,604,L173,3153,9630,3064,9770,,
221,16.4,16.3,16.35,7002,9500,3135,9117,3135,L089,3145,9808,,
222,13.9,15.5,14.7,903,L167,1000,9119,1105,L209,,,,
223,15.5,13.8,14.65,1000,9243,3121,9238,,,,,,
224,16.2,17.5,16.85,1105,9125,3063,9061,1504,8358,,,,
225,14.9,16.8,15.85,1518,9089,902,9182,1106,9494,,,,
226,18.5,15.5,17,170,9081,3062,L095,502,9078,,,,
227,14.8,13.6,14.2,906,9155,1515,9099,,,,,,
228,18.4,16.1,17.25,506,9548,300,9223,1104,9081,,,,
229,15.8,15.6,15.7,3117,9476,3011,9869,1105,L209,1110,9847,,
230,17.2,17.6,17.4,300,9041,1111,9707,3081,9070,,,,
231,13.7,13.5,13.6,1501,G008,3117,9058,901,9554,3102,L266,7105,9924
232,18.1,16.2,17.15,1000,9146,3163,9123,7015,8149,,,,
233,14.9,13.9,14.4,903,9116,1000,9195,3131,9807,,,,
234,13.6,17.7,15.65,1516,8014,605,9707,,,,,,
235,16.3,18.9,17.6,902,9182,3014,L135,3082,9205,,,,
236,14,18.5,16.25,3103,9457,3117,9476,,,,,,
237,20,15,17.5,1110,9708,505,9139,,,,,,
238,15.7,18.8,17.25,7230,8143,3033,9074,1107,9023,506,9548,,
239,14.4,17.6,16,3011,8005,604,9853,1506,9182,1103,L227,3102,8015
240,14.4,16.6,15.5,904,9081,3103,9243,1504,8358,1516,8109,,
241,20,16.3,18.15,1000,9688,903,9096,3135,9123,6800,9081,3138,9242
242,18.2,15.1,16.65,3011,8005,300,9011,1000,L147,1518,9257,,
243,16.1,16.2,16.15,3135,9117,1518,L221,,,,,,
244,16.4,16.6,16.5,3081,9084,170,9081,504,9819,,,,
245,14.8,18.4,16.6,6810,L282,502,9078,1103,L227,,,,
246,18.9,19.2,19.05,1508,9791,1518,L162,3151,9005,1517,A006,7020,L067
247,18,19.8,18.9,1105,L236,3117,9991,1507,9554,3123,9085,,
248,17.9,19.7,18.8,1501,9071,7002,9500,3103,L127,3011,9140,,
249,19.5,19.5,19.5,3105,L131,1507,9554,3031,L140,,,,
250,16.3,17.1,16.7,902,9204,1516,9023,1510,9707,3181,9084,,
251,19.1,12.4,15.75,1103,9223,1502,8399,,,,,,
252,11.8,13.2,12.5,1000,9146,3118,9126,3113,9231,,,,
253,17.1,19.2,18.15,1501,9071,400,9219,904,9081,300,L209,505,9139
254,18.1,15.6,16.85,602,9818,1503,9223,3062,9731,6800,9189,,
255,15.5,17.4,16.45,1000,9098,501,9011,3143,9152,1000,9123,,
256,17.2,15.6,16.4,1000,9056,503,9240,901,9554,,,,
257,19.5,13.8,16.65,1518,9121,904,9081,1503,9226,7015,L068,1504,8358
258,15.4,18.5,16.95,1518,9089,3162,9473,,,,,,
259,17.5,13.6,15.55,1000,9397,1504,8358,3043,9125,3033,9074,602,9015
260,11.7,17.1,14.4,911,9078,1114,9066,901,9554,,,,
261,14.6,18,16.3,3164,9498,3045,9188,203,9540,1506,9040,,
262,16.3,15.5,15.9,3135,8316,7015,9500,1517,9147,160,9185,3241,9152
263,13.8,15.1,14.45,7015,9833,1201,9752,1204,9011,1107,9181,,
264,18.6,11.9,15.25,505,9773,3331,9213,1107,9139,,,,
265,12.1,17.2,14.65,3063,9061,1308,9853,904,9147,300,9123,1201,9086
266,18.5,17.4,17.95,3032,8311,1103,9209,,,,,,
267,16.7,15.8,16.25,6800,9927,903,9224,1000,9019,1502,L010,,
268,18.1,15.2,16.65,3043,L069,1502,L010,3134,L070,604,9081,,
269,16.3,15.9,16.1,3063,9061,3081,8337,3102,9741,,,,
270,18.5,14.1,16.3,3118,9109,300,9002,3113,9010,,,,
271,20,12.1,16.05,3182,9152,1101,9554,1103,9223,904,9081,,
272,14.4,11.5,12.95,3123,9130,3102,9147,3095,L061,,,,
273,15.4,13.5,14.45,1518,L162,1519,9121,,,,,,
274,18.6,16.4,17.5,7035,L066,1202,9219,3045,9213,7075,9500,,
275,14.8,15,14.9,1504,9078,1503,L096,1518,L209,1103,L096,,
276,13.3,14.6,13.95,1506,9139,1510,9841,1000,9817,,,,
277,16.8,18.5,17.65,3134,9043,1510,9162,,,,,,
278,17.6,17.8,17.7,203,9011,3061,9673,,,,,,
279,18.4,15.7,17.05,1000,9209,300,9113,1103,9086,1501,G008,,
280,15.3,20,17.65,503,9240,1516,9023,503,9240,3022,9853,1518,9125
281,15.3,15.2,15.25,1105,9089,6800,9098,3105,9207,,,,
282,13.6,15,14.3,3242,L186,1101,9554,1104,9081,206,9351,,
283,15.9,14.8,15.35,3083,9123,1107,9197,3145,L008,1105,L224,,
284,16.1,17.4,16.75,1514,8411,3103,L257,,,,,,
285,16.9,14.3,15.6,1000,9123,150,9219,3042,9853,503,9081,3181,9054
286,15.3,15.5,15.4,3055,9725,6800,9885,501,9891,,,,
287,14.9,16.7,15.8,1504,9078,400,9351,904,9081,1104,9081,,
288,19.8,15.9,17.85,3134,9053,1000,9113,,,,,,
289,15,16.8,15.9,911,9078,1107,9192,3063,9801,3063,8519,1506,9040
290,17.3,17.5,17.4,1518,L221,3138,8015,1202,9005,3033,9873,,
291,17.2,13.9,15.55,1518,L162,1105,9125,,,,,,
292,15.8,17.3,16.55,150,9240,3045,9254,,,,,,
293,16.6,15.3,15.95,1502,8399,400,8184,3142,9084,7040,L101,3135,9455
294,14.3,14.6,14.45,1101,9554,1202,9081,1201,9752,,,,
295,16,15.4,15.7,3186,L021,1516,8111,,,,,,
296,18.5,15.6,17.05,400,9015,1508,9548,,,,,,
297,15.6,13.6,14.6,1202,9005,7001,9500,1516,8102,,,,
298,16,17.9,16.95,1516,9023,201,9204,3102,9205,400,9240,,
299,13.8,14.6,14.2,1519,9104,1103,9223,503,9147,,,,
300,12.2,16.2,14.2,1101,9554,400,9147,3092,9147,3135,9123,,
301,18.7,17.1,17.9,1000,9353,3062,9054,7002,9500,7015,9501,,
302,16.1,15.9,16,3135,9117,300,9069,3163,9087,,,,
303,16.9,17.8,17.35,1000,9113,1107,9040,400,9074,,,,
304,17.2,18.1,17.65,3022,9010,1309,8083,150,9219,,,,
305,19.5,17.1,18.3,7020,9500,300,L223,,,,,,
306,19.3,16.7,18,3135,9119,3033,L260,7220,9549,,,,
307,15.9,14.5,15.2,1103,9146,507,9238,1518,9474,3117,9058,3012,L194
308,16.5,15.4,15.95,3062,9717,1000,9012,3155,9500,,,,
309,18.3,14.8,16.55,902,8109,6800,9189,1107,9204,1104,9081,,
310,13.7,14.7,14.2,203,L123,3032,8417,1503,L096,1515,9099,,
311,13.3,14.6,13.95,1518,9099,3031,9140,1517,9081,3138,8288,,
312,17.5,16.9,17.2,3135,9117,502,9078,3013,9504,3064,9105,,
313,18,15.2,16.6,3141,L259,3083,L269,604,9787,503,9240,,
314,14.6,15.5,15.05,400,9257,904,9081,1516,9157,,,,
315,12.1,12.6,12.35,3153,9157,1204,9012,1515,9011,6810,L282,1503,9113
316,14.6,15.8,15.2,1114,9066,3012,L194,602,9003,,,,
317,18.7,15.7,17.2,3135,8316,3034,9173,,,,,,
318,13.7,16.5,15.1,400,9740,1104,9147,,,,,,
319,15.3,15.7,15.5,906,8259,904,9081,1000,9397,,,,
320,19,15.9,17.45,1307,9107,3113,8439,,,,,,
321,17.8,14.8,16.3,1507,9554,1506,8104,1000,9243,,,,
322,13.6,15.9,14.75,7220,L161,501,9119,505,9135,1516,9448,,
323,16.1,17.6,16.85,3081,9853,3042,9853,3113,9222,400,9219,3153,9628
324,18.4,17.8,18.1,3013,9890,1519,9104,1000,9146,,,,
325,17.6,18.3,17.95,902,9204,300,L254,3131,9084,902,9252,,
326,16.2,16.4,16.3,3134,9870,1000,8427,1114,9066,1103,9141,,
327,19.8,17.9,18.85,300,9041,1503,9381,,,,,,
328,13.6,15.2,14.4,3061,L009,6810,L282,1111,9707,7110,8011,,
329,13.9,18.7,16.3,3153,9993,506,9548,6810,L277,501,9113,,
330,14.2,14.6,14.4,1103,9223,3139,8442,3134,9866,1104,9081,,
331,15.9,19,17.45,3134,9058,3117,9058,300,9125,1202,9081,1507,9554
332,18.3,18.1,18.2,1506,8104,3121,9084,1107,L251,,,,
333,17.4,15.7,16.55,3135,9123,903,9119,1103,L227,,,,
334,18.4,12.2,15.3,3138,9045,1503,9146,3163,9087,,,,
335,20,15.7,17.85,1516,8102,3102,9991,7002,9500,,,,
336,16.7,17.6,17.15,1103,9146,602,9847,7110,9183,,,,
337,15.9,19.2,17.55,3153,9157,1104,9147,,,,,,
338,20,16,18,1517,9210,1203,9113,3101,9853,1202,9081,,
339,13.5,15.2,14.35,1516,9448,7005,9500,903,9119,,,,
340,15.7,17.2,16.45,3013,9504,3022,9010,6810,L282,1510,9707,,
341,16.4,17.2,16.8,1516,9157,300,L209,1518,9099,,,,
342,16.6,16.8,16.7,1504,8358,3062,9254,7001,9500,3103,9457,,
343,12.7,13,12.85,3242,9112,150,L041,150,L041,,,,
344,14.7,15.9,15.3,903,L167,1321,9076,1306,9069,3117,9476,,
345,19.9,16.4,18.15,1501,9257,1307,L208,1000,9205,3142,L130,,
346,16,17.2,16.6,1107,9143,1000,9192,3242,9380,3164,9664,,
347,15.6,18.2,16.9,1000,9113,1105,9099,1114,9066,300,L209,,
348,18.5,17,17.75,1513,L040,505,9773,,,,,,
349,16.8,17.2,17,6800,9147,1105,9099,,,,,,
350,15.7,18.3,17,1000,9019,203,9119,7003,9500,,,,
351,17.1,17.1,17.1,1110,9708,7110,9163,1000,9078,501,9113,,
352,11.7,16.1,13.9,3052,9850,3145,L008,3122,L033,,,,
353,12.4,17.8,15.1,1502,9754,3118,9123,3118,9123,501,9141,,
354,13.2,12.3,12.75,502,8067,1204,9012,1103,L227,506,9548,,
355,14.2,15.2,14.7,3063,8519,3182,9994,1114,9066,,,,
356,16.5,13.1,14.8,3062,8342,3062,9717,1104,9081,,,,
357,17.2,14.7,15.95,3032,L181,1107,9006,,,,,,
358,14.9,18,16.45,1203,9113,1502,L010,1111,9707,3118,9455,,
359,12.1,18.9,15.5,400,9835,204,9152,1502,9754,,,,
360,20,19,19.5,150,9853,3054,9254,1105,9123,1516,9157,,
361,11.7,14.5,13.1,1503,L214,3053,9111,,,,,,
362,16.1,16.5,16.3,6800,9156,6800,L188,1515,9011,501,9448,,
363,20,10.7,15.35,1204,9554,1104,9081,7035,8149,,,,
364,14.9,14.6,14.75,1503,L214,7105,9924,,,,,,
365,16.7,15.5,16.1,902,9182,903,9116,3062,9853,,,,
366,12.3,17.8,15.05,1107,L251,1308,9853,,,,,,
367,12.5,17.7,15.1,1501,9071,902,9139,902,9040,1505,9494,3043,9125
368,17,12.7,14.85,7110,8011,3143,9785,3063,9801,1202,9853,,
369,15.1,17.7,16.4,3102,9205,3045,9213,1103,8258,,,,
370,19,15,17,300,9002,203,L123,3081,9853,,,,
371,14.6,17.7,16.15,1504,9078,604,8251,3053,L275,505,9694,,
372,16.7,15,15.85,504,9494,6800,9927,1202,9147,503,9240,,
373,13.2,18,15.6,400,9139,7035,L068,501,9141,160,8571,,
374,13,14.5,13.75,1515,9011,3055,9725,,,,,,
375,17.3,15.2,16.25,1105,9125,400,9025,903,9126,506,9548,,
376,13.8,17.9,15.85,3131,8264,3123,9130,1321,9076,903,L167,1105,9089
377,19.3,18.5,18.9,903,L231,1517,9081,1103,8258,7080,9500,,
378,16.4,17.3,16.85,3162,9853,6800,9189,,,,,,
379,14.7,12.5,13.6,7210,L067,505,8393,,,,,,
380,16,14.4,15.2,1501,9071,1000,9146,3063,9186,901,9554,7002,9500
381,14.9,13.4,14.15,501,9011,506,9548,3092,9128,1107,L251,,
